,rho,GF1,LF1
0,0.05,0.3584021376073493,0.8338085336651487
1,0.1,0.38663276333985525,0.8349068948317705
2,0.15,0.40875097445622754,0.8365646024579388
3,0.2,0.43163504284974646,0.8369768585637107
4,0.25,0.4591466267224223,0.8359330084555019
5,0.3,0.4791630928837852,0.8364319667984116
6,0.35,0.5003182484533931,0.837592018417418
7,0.39999999999999997,0.5222900548229357,0.838278895227373
8,0.44999999999999996,0.5408808642514187,0.8424033860844963
9,0.49999999999999994,0.5610175286474488,0.8405911920984239
10,0.5499999999999999,0.5805641224296633,0.8402875764219504
11,0.6,0.597446948689346,0.840265411755515
12,0.65,0.6162547722234202,0.844857510422962
13,0.7,0.6327550798294487,0.8405166145275813
14,0.75,0.6528056415960716,0.8433072673154615
15,0.7999999999999999,0.6729444727068609,0.8482244446173124
16,0.85,0.6958236748515144,0.8522957511656027
17,0.9,0.7096006312775455,0.847111365407093
18,0.95,0.7308353761401881,0.8561462306813982
